Fecha,Campaña,Dispositivo,Conversiones,Impresiones,Coste,Interacciones,Clics,Envío de formulario,Llamada de teléfono,Contacto,Engagement,Obtener dirección,Acciones categoría de conversión,CTR,Fuente,Set anuncios
2025-01-29,Búsqueda | General,ordenador,1.0,8.29,2.45,4,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Campaña,N/A
2025-01-29,Búsqueda | General,móbil,4.0,0.01476,40.47,66,66,4.0,0.0,5.0,3.0,3.0,15.0,44.72,Campaña,N/A
2025-01-29,Búsqueda | General,tablet,0.0,0.8,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Campaña,N/A
2025-01-29,Pmax | Promoción Bonos - MOFU,ordenador,0.0,0.07,0.01,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.14,Campaña,N/A
2025-01-29,Pmax | Promoción Bonos - MOFU,móbil,0.0,0.35,3.29,13,13,0.0,0.0,0.0,7.0,2.0,9.0,0.37,Campaña,N/A
2025-01-29,Pmax | Promoción Bonos - RMK,ordenador,0.0,0.44,0.69,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,Campaña,N/A
2025-01-29,Pmax | Promoción Bonos - RMK,móbil,0.0,2.84,5.38,22,18,0.0,0.0,0.0,24.0,1.0,25.0,0.06,Campaña,N/A
2025-01-29,Pmax | Promoción Bonos - RMK,tablet,0.0,0.08,0.14,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Campaña,N/A
2025-01-29,Pmax | Promoción Bonos - RMK,TV,0.0,0.04,0.24,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Campaña,N/A
2025-01-29,Pmax | Promoción Nuevo Centro,ordenador,0.0,0.38,2.73,3,2,0.0,0.0,0.0,1.0,0.0,1.0,0.05,Campaña,N/A
2025-01-29,Pmax | Promoción Nuevo Centro,móbil,0.0,1.4,5.63,15,8,0.0,0.0,2.0,0.0,0.0,2.0,0.06,Campaña,N/A
2025-01-29,Pmax | Promoción Nuevo Centro,tablet,0.0,0.04,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Campaña,N/A
2025-01-30,Búsqueda | General,ordenador,0.0,1.37,5.98,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.04,Campaña,N/A
2025-01-30,Búsqueda | General,móbil,2.0,7.08,31.47,51,51,2.0,0.0,0.0,2.0,3.0,7.0,0.07,Campaña,N/A
2025-01-30,Búsqueda | General,tablet,0.0,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Campaña,N/A
2025-01-30,Pmax | Promoción Bonos - MOFU,ordenador,0.0,0.06,0.58,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.17,Campaña,N/A
2025-01-30,Pmax | Promoción Bonos - MOFU,móbil,0.0,0.25,1.39,6,6,0.0,0.0,0.0,1.0,4.0,5.0,0.24,Campaña,N/A
2025-01-30,Pmax | Promoción Bonos - RMK,ordenador,0.0,0.19,0.57,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,Campaña,N/A
2025-01-30,Pmax | Promoción Bonos - RMK,móbil,0.0,1.52,5.35,13,9,0.0,0.0,0.0,4.0,0.0,4.0,0.06,Campaña,N/A
2025-01-30,Pmax | Promoción Bonos - RMK,tablet,0.0,0.01,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Campaña,N/A
2025-01-30,Pmax | Promoción Nuevo Centro,ordenador,0.0,0.26,0.03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Campaña,N/A
2025-01-30,Pmax | Promoción Nuevo Centro,móbil,0.0,3.46,2.93,31,17,0.0,0.0,0.0,2.0,0.0,2.0,0.05,Campaña,N/A
2025-01-30,Pmax | Promoción Nuevo Centro,tablet,0.0,0.15,0.01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Campaña,N/A
2025-01-30,Pmax | Promoción Nuevo Centro,TV,0.0,0.02,0.01,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Campaña,N/A
2025-01-31,Búsqueda | General,ordenador,0.0,1.03,3.55,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.03,Campaña,N/A
2025-01-31,Búsqueda | General,móbil,0.0,6.12,23.86,44,44,0.0,0.0,0.0,9.0,0.0,9.0,0.07,Campaña,N/A
2025-01-31,Búsqueda | General,tablet,0.0,0.19,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Campaña,N/A
2025-01-31,Pmax | Promoción Bonos - MOFU,ordenador,0.0,0.12,4.91,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,Campaña,N/A
2025-01-31,Pmax | Promoción Bonos - MOFU,móbil,0.0,0.28,1.32,7,7,0.0,0.0,1.0,0.0,0.0,1.0,0.25,Campaña,N/A
2025-01-31,Pmax | Promoción Bonos - RMK,ordenador,0.0,0.13,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Campaña,N/A
2025-01-31,Pmax | Promoción Bonos - RMK,móbil,0.0,1.37,2.92,11,8,0.0,0.0,0.0,3.0,0.0,3.0,0.06,Campaña,N/A
2025-01-31,Pmax | Promoción Bonos - RMK,tablet,0.0,0.06,0.01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Campaña,N/A
2025-01-31,Pmax | Promoción Nuevo Centro,ordenador,0.0,0.44,1.25,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,Campaña,N/A
2025-01-31,Pmax | Promoción Nuevo Centro,móbil,0.0,1.43,3.4,17,9,0.0,0.0,0.0,1.0,2.0,3.0,0.06,Campaña,N/A
2025-01-31,Pmax | Promoción Nuevo Centro,tablet,0.0,0.02,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Campaña,N/A
